id,subtopic,year,title,venue,venue_type,doi,scopus_likely,key_contribution,reported_speedup,notes
B05,B_GPU_OPF,2023,"A GPU-based Distributed Algorithm for Linearized Optimal Power Flow in Distribution Systems",arXiv,preprint,10.48550/arXiv.2310.09410,no,GPU-batched distributed LPF for distribution systems,n/c,
B06,B_GPU_OPF,2024,"Accelerating optimal power flow with GPUs: SIMD abstraction of nonlinear programs and condensed Newton",Electric Power Systems Research,journal,10.1016/j.epsr.2024.110651,yes,SIMD abstraction of NLPs for GPU OPF + condensed Newton,n/c,SSRN preprint: 10.2139/ssrn.4601442
B07,B_GPU_OPF,2024,"Scalable Multi-Period AC Optimal Power Flow Utilizing GPUs with High Memory Capacities",IEEE OSMSES 2024,conference,10.1109/osmses62085.2024.10668970,verify,Multi-period AC-OPF on high-memory GPUs,n/c,
B08,B_GPU_OPF,2025,"A GPU-Accelerated Distributed Algorithm for Optimal Power Flow in Distribution Systems",IEEE IPDPS 2025,conference,10.1109/ipdps64566.2025.00068,yes,GPU-accelerated distributed OPF for distribution systems,n/c,arXiv: 10.48550/arXiv.2501.08293
B09,B_GPU_OPF,2026,"GPU Accelerated Security Constrained Optimal Power Flow",Optimization and Engineering (Springer),journal,10.1007/s11081-026-10085-6,yes,GPU SCOPF; representative of the active 2024-2026 SCOPF-on-GPU line,n/c,Preprints: 10.48550/arXiv.2410.17203; 10.21203/rs.3.rs-5306782/v1
B10,B_GPU_OPF,2026,"An augmented Lagrangian method on GPU for security-constrained AC optimal power flow",Electric Power Systems Research,journal,10.1016/j.epsr.2026.113627,yes,GPU augmented Lagrangian method for SC-AC-OPF,n/c,Crossref online-first lists 2027; verify final volume
C01,C_GPU_UC,2023,"On Solving Unit Commitment with Alternating Current Optimal Power Flow on GPU",arXiv,preprint,10.48550/arXiv.2310.13145,no,Unit commitment coupled with AC-OPF solved on GPU (emerging GPU-UC line),n/c,
C02,C_GPU_UC,2025,"Scalable Unit Commitment for Large Power Grids: Relaxation, Tightening, and GPU-Based Solvers Evaluation",IEEE NAPS 2025,conference,10.1109/naps66256.2025.11272365,verify,UC scaling via relaxation/tightening + GPU-based solvers,n/c,
C03,C_GPU_UC,2026,"GPU-Accelerated Optimization Solver for Unit Commitment in Large-Scale Power Grids",IEEE TPEC 2026,conference,10.1109/tpec67884.2026.11513113,verify,GPU optimization solver for large-scale unit commitment,n/c,
D01,D_DERMS,2022,"Distributed energy resource management systems - DERMS: State of the art and how to move forward",WIREs Energy and Environment,journal,10.1002/wene.460,yes,Anchor DERMS survey defining the problem space,n/a (survey),No GPU core; use for framing the DERMS niche
D02,D_DERMS,2021,"Distributed Energy Resource Management System (DERMS) solution for feeder Voltage Management for Utility integrated DERs",IEEE ISGT 2021,conference,10.1109/isgt49243.2021.9372281,verify,DERMS solution for feeder voltage management,n/c,
D03,D_DERMS,2020,"Interactive protocols for distributed energy resource management systems (DERMS)","IET Generation, Transmission & Distribution",journal,10.1049/iet-gtd.2019.1022,yes,DERMS communication/protocol layer,n/c,
D04,D_DERMS,2023,"Evaluation of Communication Issues in Primal-Dual-Based Distributed Energy Resource Management Systems (DERMS)",IEEE PESGM 2023,conference,10.1109/pesgm52003.2023.10252194,yes,Primal-dual DERMS: communication overhead analysis,n/c,Directly relevant to the GPU + DERMS communication bottleneck
D05,D_DERMS,2023,"Study of Communication Boundaries of Primal-Dual-Based Distributed Energy Resource Management Systems (DERMS)",IEEE ISGT 2023,conference,10.1109/isgt51731.2023.10066440,verify,Primal-dual DERMS communication-boundary study,n/c,
D06,D_DERMS,2024,"Real Time-Optimal Power Flow-Based Distributed Energy Resource Management System (DERMS)",DOE report (OSTI),report,10.2172/2356774,verify,Real-time OPF-based DERMS implementation,n/c,OSTI record; check Scopus coverage
D07,D_DERMS,2021,"IEEE Guide for Distributed Energy Resources Management Systems (DERMS) Functional Specification",IEEE standard,journal,10.1109/ieeestd.2021.9447316,verify,IEEE guide defining DERMS functional requirements,n/a (standard),Use as the requirements checklist for your own DERMS solver
E01,E_PLANNING,2020,"Metaheuristics for Transmission Network Expansion Planning",Springer book chapter: Transmission Expansion Planning - The Network Design and Investment Challenge,book chapter,10.1007/978-3-030-49428-5_2,yes,TEP methods state of the art (no GPU),n/a,Context: what GPU work would accelerate
E02,E_PLANNING,2020,"Energy Storage Systems in Transmission Expansion Planning",Springer book chapter (same book),book chapter,10.1007/978-3-030-49428-5_10,yes,Storage-aware TEP formulations,n/a,
E03,E_PLANNING,2021,"Transmission Expansion Planning Problem",Wiley book chapter: Probabilistic Power System Expansion Planning,book chapter,10.1002/9781119819042.ch11,yes,Formal TEP problem definitions,n/a,
